episode,total_reward
250,-1391.2862164151666
251,-1917.2104710527854
252,-2434.645877136556
253,-957.898698295043
254,-1717.0659488033823
255,-1753.1484236986976
256,-4260.358421645324
257,-1903.1272761606926
258,-4329.214486857263
259,-2414.81252993178
260,-2145.8552096340395
261,-2406.590219439087
262,-5740.143795198593
263,-5567.102613070293
264,-5807.526678477359
265,-2055.2370750744208
266,-2093.3529150898607
267,-2263.587640573449
268,-2156.19804096876
269,-2144.170429631386
270,-2020.5029899558783
271,-3432.721371183333
272,-5507.334664431069
273,-9148.54407634021
274,-7096.341328790654
275,-7068.794886164121
276,-15114.317772587385
277,-5779.895664086407
278,-4962.265649836524
279,-5959.10055881085
280,-5079.8961651879345
281,-11251.164157905288
282,-3111.3195351537374
283,-2828.015442362045
284,-11584.810727968183
285,-10144.908429677158
286,-2638.9603541265787
287,-3203.3625342181413
288,-3419.413861613309
289,-3176.763352768152
290,-3786.146549592782
291,-3243.444780070915
292,-4338.569059431666
293,-9884.351877214536
294,-9956.075949902954
295,-3587.375700222993
296,-3908.120470681287
297,-3525.196564741045
298,-3579.3904000420357
299,-3158.733519900723
300,-3506.7858836747514
301,-3173.0877183629714
302,-3167.0853847607395
303,-3821.499294121979
304,-3186.2308375075263
305,-2761.9127266402843
306,-3051.4457489113224
307,-3148.6307858896726
308,-3167.753878425911
309,-2480.810387827284
310,-2055.4608058685326
311,-2271.9200343321563
312,-2026.783865258979
313,-2101.126928017979
314,-2028.5305216777772
315,-1946.499828368415
316,-1809.0749916161678
317,-1805.5149179634682
318,-1696.0567303870728
319,-1894.2783415102492
320,-1903.04587255774
321,-1965.0236245895408
322,-1558.6659814794857
323,-1674.2650840404401
324,-1448.2219708132966
325,-1137.1876446987462
326,-1019.2356513473062
327,-1037.2777615272873
328,-941.8317649603086
329,-942.1335873950339
330,-1053.8007924161489
331,-1053.6620826962035
332,-1186.575765759625
333,-1100.9835138134817
334,-945.0009365278698
335,-1019.6777651902703
336,-881.1396419691155
337,-771.4933188075429
338,-789.5219541639387
339,-897.5075934696955
340,-947.633981532264
341,-979.418180902551
342,-867.073649042893
343,-998.0207529904114
344,-975.8845300134127
345,-948.1020436901724
346,-905.5341099515316
347,-976.0192015939127
348,-902.4753898495677
349,-857.2875154339813
350,-841.068537237129
351,-910.8595256148435
352,-818.0792367662689
353,-858.4842079928917
354,-819.2967876906962
355,-796.7607347187521
